title,title_uuid,volume_number,length,page_count,clean_title
AKIRA,f0fa15ef-bd35-41ca-b749-fd327119472c,5,38910,418,AKIRA
AKIRA,f0fa15ef-bd35-41ca-b749-fd327119472c,6,23374,429,AKIRA
APOSIMZ,a95602c5-406b-457f-a47a-7dfa5febb34b,1,10687,183,APOSIMZ
APOSIMZ,a95602c5-406b-457f-a47a-7dfa5febb34b,2,7554,175,APOSIMZ
APOSIMZ,a95602c5-406b-457f-a47a-7dfa5febb34b,3,11795,183,APOSIMZ
APOSIMZ,a95602c5-406b-457f-a47a-7dfa5febb34b,4,9164,181,APOSIMZ
APOSIMZ,a95602c5-406b-457f-a47a-7dfa5febb34b,5,10919,167,APOSIMZ
APOSIMZ,a95602c5-406b-457f-a47a-7dfa5febb34b,6,9982,167,APOSIMZ
APOSIMZ,a95602c5-406b-457f-a47a-7dfa5febb34b,7,11267,167,APOSIMZ
APOSIMZ,a95602c5-406b-457f-a47a-7dfa5febb34b,8,13906,167,APOSIMZ
APOSIMZ,a95602c5-406b-457f-a47a-7dfa5febb34b,9,9437,167,APOSIMZ
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,1,13434,208,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,2,15840,223,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,3,11027,208,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,4,16792,206,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,5,9897,213,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,6,14647,198,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,7,26805,393,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,8,24000,195,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,9,12800,195,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,10,12942,195,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,11,21546,195,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,12,12476,209,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,13,13242,228,ARACHNID
ARACHNID,320dec12-838d-4a19-bee0-7bbf5ce134f8,14,30293,470,ARACHNID
ARIA,6727b3fe-2fc3-4acc-b851-15c64b4fae0b,1,25075,331,ARIA
ARIA,6727b3fe-2fc3-4acc-b851-15c64b4fae0b,2,36001,387,ARIA
ARIA,6727b3fe-2fc3-4acc-b851-15c64b4fae0b,3,40019,387,ARIA
ARIA,6727b3fe-2fc3-4acc-b851-15c64b4fae0b,4,34571,363,ARIA
ARIA,6727b3fe-2fc3-4acc-b851-15c64b4fae0b,5,30689,363,ARIA
