clean_title,volume_count,page_count,num_of_unique_chrs,num_of_chrs,avg_chr_per_page,avg_chr_per_volume
Tengoku Daimakyou (Upscaler),8,1585,1489,128412,81.01703470031546,16051.5
Tenjou Tenge,22,4582,2220,386609,84.37560017459624,17573.136363636364
Tenju no Kuni,5,786,1180,53270,67.7735368956743,10654.0
Tenkuu Shinpan,21,4255,1687,443814,104.30411280846063,21134.0
Tenkuu no Tobira,18,3072,2174,415817,135.35709635416666,23100.944444444445
Tensei Shitara Slime Datta Ken,25,5159,2429,714881,138.569684047296,28595.24
Tenshi Kinryouku,20,3924,2084,539675,137.53185524974515,26983.75
Teppuu,8,1615,1338,100529,62.247058823529414,12566.125
Terumina,4,702,1735,97564,138.980056980057,24391.0
Tetsuwan Birdy,21,4507,2078,608650,135.04548480142,28983.333333333332
Tetsuwan Birdy Evolution,15,2901,2013,434614,149.81523612547397,28974.266666666666
The Fable,22,4616,1601,327827,71.01971403812826,14901.227272727272
The Voynich Hotel,3,599,1266,73620,122.90484140233723,24540.0
Thermae Romae,6,1175,1797,188449,160.38212765957448,31408.166666666668
Theseus no Fune,10,1924,1496,159557,82.92983367983368,15955.7
Tokyo Ghoul,14,2968,2082,335373,112.99629380053908,23955.214285714286
Tokyo Ghoul re,16,3744,2284,448094,119.6832264957265,28005.875
Tokyo Kaido,3,759,1064,54245,71.46903820816864,18081.666666666668
Tokyo Revengers,29,4688,1875,346852,73.98720136518772,11960.413793103447
Tokyo kakugeki,1,187,863,20639,110.36898395721926,20639.0
Tomie,1,254,829,30614,120.5275590551181,30614.0
Tomo-chan wa Onnanoko,8,1216,1388,192542,158.34046052631578,24067.75
Tomodachi Game,15,2947,1666,401109,136.10756701730574,26740.6
Tonari Wa Nani Wo Kuu Hito Zo,3,586,1219,112896,192.65529010238907,37632.0
Tonari no Furi-san ga Tonikaku Kowai,5,663,1163,99905,150.68627450980392,19981.0
Tonari wa Nani wo Kuu Hito Zo Horoyoi,10,1886,1621,297131,157.5455991516437,29713.1
Tongari Boshi no Atorie,11,2073,1620,197025,95.04341534008682,17911.363636363636
Tongari Boushi no Atelier,9,1644,1556,162810,99.03284671532846,18090.0
Tongari Boushi no Atelier (Upscale),13,2465,1744,237236,96.24178498985802,18248.923076923078
Tonikaku Kawaii,23,4557,2008,608072,133.43691024797016,26437.91304347826
Toriko,43,8686,2374,1209861,139.28862537416532,28136.302325581397
Totsukuni no Shoujo,10,1479,1255,108428,73.31169709263015,10842.8
Touhou Sangetsusei Strange Deity,3,485,1239,63409,130.74020618556702,21136.333333333332
Touhou Sangetsusei Visionary,3,335,1201,59363,177.20298507462687,19787.666666666668
Touhou Suichouka Lotus Eater-tachi no Suisei,5,912,1407,71929,78.86951754385964,14385.8
Touhou Wild and Horned Hermit,10,1578,1872,185084,117.29024081115335,18508.4
True Love,7,1359,1207,115425,84.93377483443709,16489.285714285714
Tsukiatte Agetemo Ii ka na,9,1240,1435,256763,207.06693548387096,28529.222222222223
"Tsuma, Shougakusei ni Naru",14,2569,1526,264974,103.14285714285714,18926.714285714286
Tsumi ni Nureta Futari,18,3390,1517,256634,75.7032448377581,14257.444444444445
Tsumi no Koe,3,654,1287,72452,110.78287461773701,24150.666666666668
Tsurezure Children,12,1779,1456,333226,187.31084879145587,27768.833333333332
Tsurumaki Machi Natsu Jikan,1,212,765,28812,135.9056603773585,28812.0
Tsurumoku Dokushin Ryou,11,2385,1683,327407,137.2775681341719,29764.272727272728
U12,9,1879,1429,135602,72.16711016498137,15066.888888888889
